종목명,종목코드,현재가,거래량,거래대금,PER,PBR,EPS,BPS,배당률
마이크로컨텍솔,098120,23150.0,55794.0,1291631100.0,,,,,
포스코엠텍,009520,10630.0,77994.0,829076220.0,,,,,
AJ네트웍스,095570,4330.0,179880.0,778880400.0,,,,,
AK홀딩스,006840,6040.0,36594.0,221027760.0,,,,,
BGF리테일,282330,126400.0,44677.0,5647172800.0,,,,,
BGF,027410,3945.0,95088.0,375122160.0,,,,,
BNK금융지주,138930,18330.0,820582.0,15041268060.0,,,,,
BYC우,001465,23250.0,560.0,13020000.0,,,,,
BYC,001460,32750.0,4020.0,131655000.0,,,,,
CJ우,001045,66600.0,1940.0,129204000.0,,,,,
CJ4우(전환),00104K,132600.0,18631.0,2470470600.0,,,,,
CJ,001040,135700.0,103393.0,14030430100.0,,,,,
CJ씨푸드1우,011155,6410.0,914.0,5858740.0,,,,,
CJ씨푸드,011150,2070.0,65755.0,136112850.0,,,,,
CMG제약,058820,839.0,304277.0,255288403.0,,,,,
CS홀딩스,000590,67600.0,2280.0,154128000.0,,,,,
DB,012030,1535.0,595203.0,913636605.0,,,,,
DB손해보험,005830,163000.0,219854.0,35836202000.0,,,,,
DB증권,016610,9240.0,54255.0,501316200.0,,,,,
DB하이텍,000990,109600.0,343123.0,37606280800.0,,,,,
DI동일,001530,23650.0,22050.0,521482500.0,,,,,
DL우,000215,20300.0,2927.0,59418100.0,,,,,
DL,000210,46450.0,51979.0,2414424550.0,,,,,
DL이앤씨우,37550K,21550.0,5463.0,117727650.0,,,,,
DL이앤씨2우(전환),37550L,39000.0,10667.0,416013000.0,,,,,
DL이앤씨,375500,60200.0,199426.0,12005445200.0,,,,,
DSR,155660,4430.0,18562.0,82229660.0,,,,,
DSR제강,069730,5590.0,15698.0,87751820.0,,,,,
DS단석,017860,12010.0,93331.0,1120905310.0,,,,,
E1,017940,87100.0,5401.0,470427100.0,,,,,
ESR켄달스퀘어리츠,365550,3185.0,309356.0,985298860.0,,,,,
ES큐브,050120,2925.0,15264.0,44647200.0,,,,,
F&F,383220,79000.0,39871.0,3149809000.0,,,,,
F&F홀딩스,007700,14800.0,19539.0,289177200.0,,,,,
GS우,078935,54600.0,3851.0,210264600.0,,,,,
GS건설,006360,27300.0,1018155.0,27795631500.0,,,,,
GS,078930,82800.0,369644.0,30606523200.0,,,,,
HDC,012630,20400.0,38312.0,781564800.0,,,,,
HDC현대산업개발,294870,18030.0,424976.0,7662317280.0,,,,,
HJ중공업,097230,15560.0,522104.0,8123938240.0,,,,,
HL D&I,014790,2500.0,46691.0,116727500.0,,,,,
HLB이노베이션,024850,10360.0,999019.0,10349836840.0,,,,,
HL만도,204320,44800.0,505577.0,22649849600.0,,,,,
HL홀딩스,060980,37850.0,10777.0,407909450.0,,,,,
HS애드,035000,5870.0,170359.0,1000007330.0,,,,,
IHQ,003560,,,,,,,,
INVENI,015360,14250.0,22303.0,317817750.0,,,,,
JB금융지주,175330,27400.0,545705.0,14952317000.0,,,,,
JW생명과학,234080,11380.0,25771.0,293273980.0,,,,,
JW중외제약우,001065,20750.0,9.0,186750.0,,,,,
JW중외제약2우B,001067,43400.0,9.0,390600.0,,,,,
JW중외제약,001060,24250.0,29737.0,721122250.0,,,,,
JW홀딩스,096760,3905.0,69705.0,272198025.0,,,,,
KB금융,105560,181100.0,1299467.0,235333473700.0,,,,,
KB스타리츠,432320,1513.0,689698.0,1043513074.0,,,,,
KB오토시스,024120,3220.0,2288.0,7367360.0,,,,,
KCTC,009070,3855.0,129883.0,500698965.0,,,,,
KD,044180,205.0,0.0,0.0,,,,,
KG모빌리티,003620,2860.0,463056.0,1324340160.0,,,,,
KG스틸,016380,5110.0,211640.0,1081480400.0,,,,,
KG케미칼,001390,4130.0,127569.0,526859970.0,,,,,
KH 필룩스,033180,,,,,,,,
KISCO홀딩스,001940,25100.0,14976.0,375897600.0,,,,,
KPX케미칼,025000,50700.0,4240.0,214968000.0,,,,,
KPX홀딩스,092230,86300.0,6277.0,541705100.0,,,,,
KR모터스,000040,267.0,0.0,0.0,,,,,
LF,093050,22200.0,18512.0,410966400.0,,,,,
LG우,003555,63800.0,4197.0,267768600.0,,,,,
LG디스플레이,034220,10410.0,3502742.0,36463544220.0,,,,,
LG,003550,98800.0,244041.0,24111250800.0,,,,,
LG생활건강우,051905,92500.0,2628.0,243090000.0,,,,,
LG생활건강,051900,246500.0,37406.0,9220579000.0,,,,,
LG에너지솔루션,373220,334000.0,314975.0,105201650000.0,,,,,
LG유플러스,032640,14620.0,938459.0,13720270580.0,,,,,
LG이노텍,011070,668000.0,186849.0,124815132000.0,,,,,
LG전자우,066575,65900.0,81520.0,5372168000.0,,,,,
LG전자,066570,179000.0,1389002.0,248631358000.0,,,,,
LG화학우,051915,120500.0,13533.0,1630726500.0,,,,,
LG화학,051910,260500.0,180510.0,47022855000.0,,,,,
LIG넥스원,079550,749000.0,130322.0,97611178000.0,,,,,
LS ELECTRIC,010120,190000.0,664593.0,126272670000.0,,,,,
LS네트웍스,000680,2850.0,84918.0,242016300.0,,,,,
LS,006260,288000.0,149766.0,43132608000.0,,,,,
LS에코에너지,229640,43050.0,48343.0,2081166150.0,,,,,
LX세미콘,108320,39250.0,63983.0,2511332750.0,,,,,
LX인터내셔널,001120,36800.0,68543.0,2522382400.0,,,,,
MDS테크,086960,1862.0,124656.0,232109472.0,,,,,
MH에탄올,023150,4245.0,6319.0,26824155.0,,,,,
NAVER,035420,190000.0,737459.0,140117210000.0,,,,,
NHN,181710,37400.0,65114.0,2435263600.0,,,,,
NH프라임리츠,338100,3860.0,84544.0,326339840.0,,,,,
NICE,034310,11940.0,43982.0,525145080.0,,,,,
NICE인프라,063570,3180.0,27124.0,86254320.0,,,,,
NI스틸,008260,3040.0,39112.0,118900480.0,,,,,
NPC우,004255,1975.0,20687.0,40856825.0,,,,,
NPC,004250,3000.0,23806.0,71418000.0,,,,,
OCI,456040,89800.0,47301.0,4247629800.0,,,,,
S-Oil우,010955,69500.0,39245.0,2727527500.0,,,,,
S-Oil,010950,144900.0,513882.0,74461501800.0,,,,,
SBI핀테크솔루션즈,950110,,,,,,,,
SGC에너지,005090,38500.0,28537.0,1098674500.0,,,,,
SG글로벌,001380,1413.0,84717.0,119705121.0,,,,,
SHD,001770,6970.0,15019.0,104682430.0,,,,,
SH에너지화학,002360,1940.0,40751.0,79056940.0,,,,,
SIMPAC,009160,4870.0,206928.0,1007739360.0,,,,,
SJM,123700,3380.0,14959.0,50561420.0,,,,,
SJM홀딩스,025530,3550.0,19987.0,70953850.0,,,,,
SK우,03473K,339500.0,1497.0,508231500.0,,,,,
SKC,011790,85200.0,179133.0,15262131600.0,,,,,
SK가스,018670,222000.0,13168.0,2923296000.0,,,,,
SK네트웍스,001740,7990.0,2008457.0,16047571430.0,,,,,
SK디앤디,210980,5640.0,523347.0,2951677080.0,,,,,
SK리츠,395400,5650.0,304907.0,1722724550.0,,,,,
SK,034730,580000.0,171338.0,99376040000.0,,,,,
SK스퀘어,402340,1212000.0,755798.0,916027176000.0,,,,,
SK시그넷,260870,6630.0,1627.0,10787010.0,,,,,
SK아이이테크놀로지,361610,14260.0,98376.0,1402841760.0,,,,,
SK오션플랜트,100090,13340.0,469975.0,6269466500.0,,,,,
SK이노베이션우,096775,63300.0,7466.0,472597800.0,,,,,
SK이노베이션,096770,121400.0,1851929.0,224824180600.0,,,,,
SK증권우,001515,4090.0,3338.0,13652420.0,,,,,
SK증권,001510,2260.0,1746964.0,3948138640.0,,,,,
SK케미칼우,28513K,20800.0,9797.0,203777600.0,,,,,
SK케미칼,285130,39250.0,30123.0,1182327750.0,,,,,
SK텔레콤,017670,89700.0,1366866.0,122607880200.0,,,,,
SNT다이내믹스,003570,34550.0,18707.0,646326850.0,,,,,
SNT모티브,064960,25750.0,105378.0,2713483500.0,,,,,
SNT에너지,100840,24750.0,75722.0,1874119500.0,,,,,
SNT홀딩스,036530,52000.0,22703.0,1180556000.0,,,,,
SPC삼립,005610,37250.0,1753.0,65299250.0,,,,,
STX그린로지스,465770,3185.0,4916197.0,15658087445.0,,,,,
STX,011810,3530.0,0.0,0.0,,,,,
STX엔진,077970,25000.0,140174.0,3504350000.0,,,,,
TBH글로벌,084870,2080.0,117246.0,243871680.0,,,,,
TCC스틸,002710,9000.0,38647.0,347823000.0,,,,,
WISCOM,024070,1857.0,15346.0,28497522.0,,,,,
가비아,079940,33900.0,12012.0,407206800.0,,,,,
가온그룹,078890,3790.0,195781.0,742009990.0,,,,,
가온전선,000500,196700.0,100776.0,19822639200.0,,,,,
가온칩스,399720,49750.0,135777.0,6754905750.0,,,,,
가이아코퍼레이션,296520,602.0,0.0,0.0,,,,,
감성코퍼레이션,036620,3890.0,230933.0,898329370.0,,,,,
강남제비스코,000860,13370.0,7934.0,106077580.0,,,,,
강동씨앤엘,198440,1328.0,1042039.0,1383827792.0,,,,,
강스템바이오텍,217730,2265.0,4108743.0,9306302895.0,,,,,
강원랜드,035250,14410.0,446740.0,6437523400.0,,,,,
강원에너지,114190,8280.0,56483.0,467679240.0,,,,,
갤럭시아머니트리,094480,4890.0,84918.0,415249020.0,,,,,
갤럭시아에스엠,011420,1464.0,43227.0,63284328.0,,,,,
경남스틸,039240,1997.0,34296.0,68489112.0,,,,,
경남제약,053950,1551.0,50341.0,78078891.0,,,,,
경농,002100,9150.0,15286.0,139866900.0,,,,,
경동나비엔,009450,62000.0,25120.0,1557440000.0,,,,,
경동도시가스,267290,19580.0,13913.0,272416540.0,,,,,
경동인베스트,012320,45500.0,3714.0,168987000.0,,,,,
경동제약,011040,4990.0,45149.0,225293510.0,,,,,
경방,000050,8480.0,161967.0,1373480160.0,,,,,
경보제약,214390,5200.0,23168.0,120473600.0,,,,,
경인양행,012610,2920.0,200816.0,586382720.0,,,,,
경인전자,009140,21050.0,1935.0,40731750.0,,,,,
경창산업,024910,1499.0,16835.0,25235665.0,,,,,
계룡건설,013580,18560.0,92324.0,1713533440.0,,,,,
계양전기우,012205,6910.0,9138.0,63143580.0,,,,,
계양전기,012200,4280.0,250135.0,1070577800.0,,,,,
고려산업,002140,1827.0,1305261.0,2384711847.0,,,,,
고려신용정보,049720,9760.0,37697.0,367922720.0,,,,,
고려아연,010130,1029000.0,12960.0,13335840000.0,,,,,
고려제강,002240,17090.0,29594.0,505761460.0,,,,,
고려제약,014570,3415.0,8242.0,28146430.0,,,,,
고바이오랩,348150,3265.0,16521.0,53941065.0,,,,,
고스트스튜디오,950190,9380.0,69443.0,651375340.0,,,,,
고영,098460,26400.0,731025.0,19299060000.0,,,,,
골드앤에스,035290,1641.0,61571.0,101038011.0,,,,,
골프존,215000,39000.0,8496.0,331344000.0,,,,,
골프존홀딩스,121440,6670.0,186035.0,1240853450.0,,,,,
공구우먼,366030,5050.0,48529.0,245071450.0,,,,,
광동제약,009290,6100.0,193369.0,1179550900.0,,,,,
광동헬스바이오,086220,668.0,1605.0,1072140.0,,,,,
광림,014200,,,,,,,,
