종목코드,종목명,시장구분
098120,마이크로컨텍솔,코스닥
009520,포스코엠텍,KOSDAQ GLOBAL
095570,AJ네트웍스,코스피
006840,AK홀딩스,코스피
282330,BGF리테일,코스피
027410,BGF,코스피
138930,BNK금융지주,코스피
001465,BYC우,코스피
001460,BYC,코스피
001045,CJ우,코스피
00104K,CJ4우(전환),코스피
001040,CJ,코스피
011155,CJ씨푸드1우,코스피
011150,CJ씨푸드,코스피
058820,CMG제약,코스닥
000590,CS홀딩스,코스피
012030,DB,코스피
005830,DB손해보험,코스피
016610,DB증권,코스피
000990,DB하이텍,코스피
001530,DI동일,코스피
000215,DL우,코스피
000210,DL,코스피
37550K,DL이앤씨우,코스피
37550L,DL이앤씨2우(전환),코스피
375500,DL이앤씨,코스피
155660,DSR,코스피
069730,DSR제강,코스피
017860,DS단석,코스피
017940,E1,코스피
365550,ESR켄달스퀘어리츠,코스피
050120,ES큐브,코스닥
383220,F&F,코스피
007700,F&F홀딩스,코스피
078935,GS우,코스피
006360,GS건설,코스피
078930,GS,코스피
012630,HDC,코스피
294870,HDC현대산업개발,코스피
097230,HJ중공업,코스피
014790,HL D&I,코스피
024850,HLB이노베이션,코스닥
204320,HL만도,코스피
060980,HL홀딩스,코스피
035000,HS애드,코스피
003560,IHQ,코스피
015360,INVENI,코스피
175330,JB금융지주,코스피
234080,JW생명과학,코스피
001065,JW중외제약우,코스피
001067,JW중외제약2우B,코스피
001060,JW중외제약,코스피
096760,JW홀딩스,코스피
105560,KB금융,코스피
432320,KB스타리츠,코스피
024120,KB오토시스,코스닥
009070,KCTC,코스피
044180,KD,코스닥
003620,KG모빌리티,코스피
016380,KG스틸,코스피
001390,KG케미칼,코스피
033180,KH 필룩스,코스피
001940,KISCO홀딩스,코스피
025000,KPX케미칼,코스피
092230,KPX홀딩스,코스피
000040,KR모터스,코스피
093050,LF,코스피
003555,LG우,코스피
034220,LG디스플레이,코스피
003550,LG,코스피
051905,LG생활건강우,코스피
051900,LG생활건강,코스피
373220,LG에너지솔루션,코스피
032640,LG유플러스,코스피
011070,LG이노텍,코스피
066575,LG전자우,코스피
066570,LG전자,코스피
051915,LG화학우,코스피
051910,LG화학,코스피
079550,LIG넥스원,코스피
010120,LS ELECTRIC,코스피
000680,LS네트웍스,코스피
006260,LS,코스피
229640,LS에코에너지,코스피
108320,LX세미콘,코스피
001120,LX인터내셔널,코스피
086960,MDS테크,코스닥
023150,MH에탄올,코스피
035420,NAVER,코스피
181710,NHN,코스피
338100,NH프라임리츠,코스피
034310,NICE,코스피
063570,NICE인프라,코스닥
008260,NI스틸,코스피
004255,NPC우,코스피
004250,NPC,코스피
456040,OCI,코스피
010955,S-Oil우,코스피
010950,S-Oil,코스피
950110,SBI핀테크솔루션즈,코스닥
005090,SGC에너지,코스피
001380,SG글로벌,코스피
001770,SHD,코스피
002360,SH에너지화학,코스피
009160,SIMPAC,코스피
123700,SJM,코스피
025530,SJM홀딩스,코스피
03473K,SK우,코스피
011790,SKC,코스피
018670,SK가스,코스피
001740,SK네트웍스,코스피
210980,SK디앤디,코스피
395400,SK리츠,코스피
034730,SK,코스피
402340,SK스퀘어,코스피
260870,SK시그넷,KONEX
361610,SK아이이테크놀로지,코스피
100090,SK오션플랜트,코스피
096775,SK이노베이션우,코스피
096770,SK이노베이션,코스피
001515,SK증권우,코스피
001510,SK증권,코스피
28513K,SK케미칼우,코스피
285130,SK케미칼,코스피
017670,SK텔레콤,코스피
003570,SNT다이내믹스,코스피
064960,SNT모티브,코스피
100840,SNT에너지,코스피
036530,SNT홀딩스,코스피
005610,SPC삼립,코스피
465770,STX그린로지스,코스피
011810,STX,코스피
077970,STX엔진,코스피
084870,TBH글로벌,코스피
002710,TCC스틸,코스피
024070,WISCOM,코스피
079940,가비아,코스닥
078890,가온그룹,코스닥
000500,가온전선,코스피
399720,가온칩스,코스닥
296520,가이아코퍼레이션,KONEX
036620,감성코퍼레이션,코스닥
000860,강남제비스코,코스피
198440,강동씨앤엘,코스닥
217730,강스템바이오텍,코스닥
035250,강원랜드,코스피
114190,강원에너지,코스닥
094480,갤럭시아머니트리,코스닥
011420,갤럭시아에스엠,코스피
039240,경남스틸,코스닥
053950,경남제약,코스닥
002100,경농,코스피
009450,경동나비엔,코스피
267290,경동도시가스,코스피
012320,경동인베스트,코스피
011040,경동제약,코스닥
000050,경방,코스피
214390,경보제약,코스피
012610,경인양행,코스피
009140,경인전자,코스피
024910,경창산업,코스닥
013580,계룡건설,코스피
012205,계양전기우,코스피
012200,계양전기,코스피
002140,고려산업,코스피
049720,고려신용정보,코스닥
010130,고려아연,코스피
002240,고려제강,코스피
014570,고려제약,코스닥
348150,고바이오랩,코스닥
950190,고스트스튜디오,코스닥
098460,고영,코스닥
035290,골드앤에스,코스닥
215000,골프존,KOSDAQ GLOBAL
121440,골프존홀딩스,코스닥
366030,공구우먼,코스닥
009290,광동제약,코스피
086220,광동헬스바이오,KONEX
014200,광림,코스닥
017040,광명전기,코스피
029480,광무,코스닥
017900,광전자,코스피
037710,광주신세계,코스피
026910,광진실업,코스닥
456490,교보14호스팩,코스닥
465320,교보15호스팩,코스닥
482520,교보16호스팩,코스닥
489210,교보17호스팩,코스닥
030610,교보증권,코스피
339770,교촌에프앤비,코스피
053270,구영테크,코스닥
007690,국도화학,코스피
066620,국보디자인,코스닥
001140,국보,코스피
043650,국순당,코스닥
006050,국영지앤엠,코스닥
060480,국일신동,코스닥
078130,국일제지,코스닥
307750,국전약품,코스닥
002720,국제약품,코스피
035080,그래디언트,코스닥
114090,GKL,코스피
900290,GRT,코스닥
453450,그리드위즈,코스닥
204020,그리티,코스닥
402490,그린리소스,코스닥
114450,그린생명과학,코스닥
083420,그린케미칼,코스피
186230,그린플러스,코스닥
014530,극동유화,코스피
083450,GST,코스닥
900070,글로벌에스엠,코스닥
204620,글로벌텍스프리,코스닥
019660,글로본,코스닥
014285,금강공업우,코스피
014280,금강공업,코스피
053260,금강철강,코스닥
008870,금비,코스피
282720,금양그린파워,코스닥
001570,금양,코스피
002995,금호건설우,코스피
002990,금호건설,코스피
011785,금호석유화학우,코스피
011780,금호석유화학,코스피
214330,금호에이치티,코스피
001210,금호전기,코스피
073240,금호타이어,코스피
036190,금화피에스시,코스닥
049080,기가레인,코스닥
420770,기가비스,코스닥
035460,기산텔레콤,코스닥
092440,기신정기,코스피
000270,기아,코스피
456700,길교이앤씨,KONEX
013700,까뮤이앤씨,코스피
004545,깨끗한나라우,코스피
004540,깨끗한나라,코스피
407400,꿈비,코스닥
187790,나노,코스닥
121600,나노신소재,코스닥
286750,나노실리칸첨단소재,코스닥
247660,나노씨엠에스,코스닥
039860,나노엔텍,코스닥
091970,나노캠텍,코스닥
417010,나노팀,코스닥
244880,나눔테크,KONEX
405920,나라셀라,코스닥
288490,나라소프트,KONEX
051490,나라엠앤디,코스닥
137080,나래나노텍,코스닥
190510,나무가,코스닥
242040,나무기술,코스닥
459510,나우로보틱스,코스닥
293580,나우IB,코스닥
257990,나우코스,KONEX
138610,나이벡,코스닥
130580,나이스디앤비,코스닥
036800,나이스정보통신,코스닥
030190,NICE평가정보,코스피
267320,나인테크,코스닥
001260,남광토건,코스피
008355,남선알미우,코스피
008350,남선알미늄,코스피
004270,남성,코스피
003925,남양유업우,코스피
003920,남양유업,코스피
025860,남해화학,코스피
111710,남화산업,코스닥
091590,남화토건,코스닥
168330,내츄럴엔도텍,코스닥
094860,네오리진,코스닥
253590,네오셈,코스닥
212560,네오오토,코스닥
095660,네오위즈,코스닥
042420,네오위즈홀딩스,코스닥
950220,네오이뮨텍,코스닥
311390,네오크레마,코스닥
085910,네오티스,코스닥
092730,네오팜,코스닥
290660,네오펙트,코스닥
306620,네온테크,코스닥
153460,네이블,코스닥
007390,네이처셀,코스닥
033640,네패스,코스닥
330860,네패스아크,코스닥
351320,넥사다이내믹스,코스닥
005725,넥센우,코스피
005720,넥센,코스피
002355,넥센타이어1우B,코스피
002350,넥센타이어,코스피
089140,넥스턴바이오,코스닥
389650,넥스트바이오메디컬,코스닥
137940,넥스트아이,코스닥
160550,NEW,코스닥
396270,넥스트칩,코스닥
348210,넥스틴,KOSDAQ GLOBAL
092790,넥스틸,코스피
225570,넥슨게임즈,코스닥
205500,넥써쓰,코스닥
217270,넵튠,코스닥
251270,넷마블,코스피
317860,노드메이슨,KONEX
104620,노랑풍선,코스닥
090355,노루페인트우,코스피
090350,노루페인트,코스피
000325,노루홀딩스우,코스피
000320,노루홀딩스,코스피
473980,노머스,코스닥
194700,노바렉스,코스닥
285490,노바텍,코스닥
145170,노브랜드,코스닥
229500,노브메타파마,KONEX
106520,노블엠앤비,코스닥
376930,노을,코스닥
006280,녹십자,코스피
142280,녹십자엠에스,코스닥
234690,녹십자웰빙,코스닥
005257,녹십자홀딩스2우,코스피
005250,녹십자홀딩스,코스피
004370,농심,코스피
072710,농심홀딩스,코스피
154030,아시아종묘,코스닥
054050,농우바이오,코스닥
403490,우듬지팜,코스닥
069140,누리플랜,코스닥
040160,누리플렉스,코스닥
332290,누보,코스닥
348340,뉴로메카,코스닥
060260,뉴보텍,코스닥
463020,뉴엔AI,코스닥
123840,뉴온,코스닥
012340,뉴인텍,코스닥
462310,뉴키즈온,코스닥
270870,뉴트리,코스닥
144960,뉴파워프라즈마,코스닥
085670,뉴프렉스,코스닥
064260,다날,코스닥
340360,다보링크,코스닥
039560,다산네트웍스,코스닥
154040,다산솔루에타,코스닥
058730,다스코,코스피
030210,다올투자증권,코스피
023590,다우기술,코스피
032190,다우데이타,코스닥
323350,다원넥스뷰,코스닥
068240,다원시스,코스닥
145210,다이나믹디자인,코스피
483650,달바글로벌,코스피
464580,닷밀,코스닥
019680,대교,코스피
019685,대교우B,코스피
006370,대구백화점,코스피
00806K,대덕1우,코스피
008060,대덕,코스피
353200,대덕전자,코스피
35320K,대덕전자1우,코스피
178600,대동고려삼,KONEX
020400,대동금속,코스닥
008830,대동기어,코스닥
000490,대동,코스피
