날짜,시가,고가,저가,종가,거래량,등락률
2025-04-21,189100,190800,187200,187500,246628,0.0
2025-04-22,187200,195700,186000,193700,645159,3.3066666666666666
2025-04-23,196000,196300,192600,192900,391879,-0.41300980898296336
2025-04-24,192600,193800,190400,191500,417055,-0.7257646448937273
2025-04-25,193400,195100,192200,193500,391764,1.0443864229765014
2025-04-28,194300,196500,192700,195500,313415,1.03359173126615
2025-04-29,195500,197400,193700,196500,325432,0.5115089514066496
2025-04-30,196200,200500,195800,200500,523186,2.035623409669211
2025-05-02,199800,200500,197300,197400,280801,-1.546134663341646
2025-05-07,200000,202000,198200,199100,622014,0.8611955420466059
2025-05-08,195100,196600,188500,188700,1199556,-5.223505775991963
2025-05-09,190000,192100,189500,191000,558440,1.2188659247482776
2025-05-12,192800,194300,189700,190200,437578,-0.41884816753926707
2025-05-13,190000,191000,187600,188200,680047,-1.0515247108307046
2025-05-14,189900,191400,188900,191200,363846,1.5940488841657812
2025-05-15,189800,190300,188200,189200,355097,-1.0460251046025104
2025-05-16,189100,189700,187500,187800,285272,-0.7399577167019027
2025-05-19,187600,188200,184500,185400,262018,-1.2779552715654952
2025-05-20,185800,186500,184000,185000,293512,-0.2157497303128371
2025-05-21,185900,186500,184600,184800,382117,-0.10810810810810811
2025-05-22,183200,184500,181100,183200,469433,-0.8658008658008658
2025-05-23,184100,185300,182800,183100,257074,-0.05458515283842794
2025-05-26,183100,188000,181800,188000,472314,2.6761332605133807
2025-05-27,186200,186900,183000,183800,668670,-2.2340425531914896
2025-05-28,184600,189000,184100,187700,727369,2.121871599564744
2025-05-29,189300,190600,187700,189300,649059,0.8524240809802877
2025-05-30,188700,188800,186100,187500,989028,-0.9508716323296356
2025-06-02,185800,188300,185700,186500,408085,-0.5333333333333333
2025-06-04,189000,189100,185500,185500,817069,-0.5361930294906166
2025-06-05,186300,192000,186300,191200,911249,3.0727762803234504
2025-06-09,195400,202500,192300,198500,1407038,3.8179916317991633
2025-06-10,204000,204000,196800,200000,911907,0.7556675062972292
2025-06-11,200500,202000,198900,201000,512085,0.5
2025-06-12,199500,201500,198900,198900,624703,-1.0447761194029852
2025-06-13,203500,206000,197400,200500,1050533,0.8044243338360985
2025-06-16,211000,211500,202000,209500,1159906,4.488778054862843
2025-06-17,212000,213000,204000,206500,837169,-1.431980906921241
2025-06-18,204500,244500,204000,243500,5706879,17.91767554479419
2025-06-19,254500,259000,248500,252000,3810468,3.4907597535934287
2025-06-20,249000,269500,245000,269500,4889308,6.944444444444445
2025-06-23,276500,295000,270000,290000,5050411,7.606679035250464
2025-06-24,288500,292500,277500,290500,4326501,0.1724137931034483
2025-06-25,282500,286500,276000,283500,2862461,-2.4096385542168677
2025-06-26,270000,275000,254000,261000,4314779,-7.936507936507936
2025-06-27,263500,265000,252000,257500,2316733,-1.3409961685823755
2025-06-30,257000,268000,255500,262500,2219752,1.9417475728155338
2025-07-01,264000,269000,260000,262000,1791173,-0.19047619047619047
2025-07-02,263000,263500,250000,252000,1870730,-3.816793893129771
2025-07-03,250500,260000,249500,253000,1207730,0.3968253968253968
2025-07-04,252500,254500,247500,249000,874760,-1.5810276679841897
2025-07-07,248500,260500,248500,256000,1175356,2.8112449799196786
2025-07-08,261500,263000,255000,258000,903743,0.78125
2025-07-09,258500,258500,251000,254000,952460,-1.550387596899225
2025-07-10,255500,265000,251000,259500,1754234,2.1653543307086616
2025-07-11,261000,261500,253000,253000,1249355,-2.5048169556840074
2025-07-14,252000,252500,244000,249000,1205192,-1.5810276679841897
2025-07-15,247500,253000,247000,249500,791762,0.2008032128514056
2025-07-16,251000,255500,249000,250000,785410,0.2004008016032064
2025-07-17,254000,255000,242500,243500,1262077,-2.6
2025-07-18,243500,245000,240000,242000,703602,-0.6160164271047228
